"Device Name","WEATHER - 2719569"
"Device Model","5500L"
"Serial Number","2719569"
"FORMATTED DATE_TIME","Temperature","Wet Bulb Temp","Relative Humidity","Barometric Pressure","Altitude","Station Pressure","Wind Speed","Heat Index","Dew Point","Density Altitude","Crosswind","Headwind","Compass Magnetic Direction","Compass True Direction","Wind Chill","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","°C","%","mb","m","mb","km/h","°C","°C","m","km/h","km/h","Deg","Deg","°C"
"2023-06-14 03:55:30 p. m.","22,0","12,8","36,7","883,4","1139","883,4","8,7","21,0","6,5","1690","0,9","-8,6","184","185","22,0","session","Session - 14 jun. 2023_4:20:50 p. m.","14 jun. 2023 / 3:55:05 p. m.","00:25:45","","","",""
"2023-06-14 03:56:00 p. m.","22,4","13,3","37,4","883,4","1139","883,4","6,3","21,3","7,2","1706","0,3","-6,3","183","183","22,4","session"
"2023-06-14 03:56:30 p. m.","23,9","14,5","38,0","883,4","1139","883,4","6,2","22,5","8,7","1759","0,4","-6,2","183","184","23,8","session"
"2023-06-14 03:57:00 p. m.","22,5","13,3","37,1","883,4","1139","883,4","9,0","21,4","7,2","1708","0,6","-9,0","183","183","22,5","session"
"2023-06-14 03:57:30 p. m.","23,1","13,9","37,8","883,4","1139","883,4","11,2","21,8","7,9","1730","0,4","-11,2","182","182","23,0","session"
"2023-06-14 03:58:00 p. m.","22,4","13,4","38,1","883,4","1139","883,4","9,6","21,2","7,4","1705","0,1","-9,6","181","182","22,3","session"
"2023-06-14 03:58:30 p. m.","21,9","13,1","38,6","883,5","1138","883,5","14,3","20,8","7,1","1685","0,5","-14,3","182","182","21,8","session"
"2023-06-14 03:59:00 p. m.","21,9","13,3","39,5","883,4","1139","883,4","6,6","21,0","7,6","1690","0,1","-6,6","180","181","21,9","session"
"2023-06-14 03:59:30 p. m.","20,8","12,3","38,8","883,5","1139","883,5","7,3","19,6","6,3","1647","0,2","-7,3","181","182","20,8","session"
"2023-06-14 04:00:00 p. m.","21,8","13,4","40,6","883,4","1139","883,4","4,7","20,9","7,9","1688","0,1","-4,6","181","181","21,8","session"
"2023-06-14 04:00:30 p. m.","21,7","13,1","39,6","883,5","1138","883,5","11,0","20,7","7,3","1680","0,8","-10,9","184","184","21,6","session"
"2023-06-14 04:01:00 p. m.","21,2","12,7","39,6","883,5","1139","883,5","3,5","20,2","6,9","1662","0,2","-3,5","183","184","21,2","session"
"2023-06-14 04:01:30 p. m.","20,4","12,2","39,9","883,5","1138","883,5","7,1","19,0","6,3","1633","0,0","-7,1","178","179","20,4","session"
"2023-06-14 04:02:00 p. m.","20,5","12,4","40,5","883,5","1139","883,5","2,5","19,2","6,7","1637","0,1","-2,5","181","182","20,5","session"
"2023-06-14 04:02:30 p. m.","22,5","14,0","40,9","883,4","1139","883,4","5,5","21,5","8,6","1712","0,1","-5,5","178","178","22,4","session"
"2023-06-14 04:03:00 p. m.","22,5","13,7","39,2","883,4","1139","883,4","1,2","21,4","7,9","1709","0,0","-1,2","177","178","22,4","session"
